Meny, Mandag, Tirsdag, Onsdag, Torsdag, Fredag
Lunsj, "Kylling korma med raita,  mangochutney og nan basmatiris(melk, hvete,  cashewnøt, hvitløk)", "Lasagne med cherrytomater spinat,  cour de capra,  og basilikumolje (hvete,  melk)", "Gulasj med rotgrønsaker,  potetmos,  rømme,  focaccia. (hvitløk,  selleri,  melk)", "Sei med stektløk,  koktepoteter,  hurtigsyltetagurk salat,  rømme og smørsaus. (fisk,  melk,  sulfit)", "Spicepinnekjøtt,  teriyaky ribbe,  asiatisk rødkål,  honing soya glazerte småpoteter og tyttebær (hvete,  soya,  sulfit,  hvitløk)"
Lunsj veg, "Palak paneer m rita mangochutny basmatiris nan (melk, hvete,  sulfit)", "Pasta med sopp,  fløte og trøffelolje.(hvete,  melk)", "Vegetarisk moussaka fra Libanon,  eubergine,  kikerter,  tomat,  sitron,  servers med ris. (hvete,  melk)", "Vegetargryte med søtpotet,  gulrot,  blomkål og linser. Gryteretten er blant annet krydret med garam masala (sulfit,  hvitløk)", "Oumph pinne kjøtt,  teriyaky nøttestek,  asiatisk rødkål,  honing soya glazerte småpoteter og tyttebær (hvete,  sulfit,  soya,  hvitløk)"
Dagens påsmurt, "Langpanne rotspelt,  med serrano,  syltarødløk,  brie og aioli. (hvete,  egg,  sennep,  sulfitt,  hvitløk,  melk)", "Baguett,  tunamix,  salat,  chiliaioli og avocado. (hvete,  egg,  sulfitt,  sennep)", "Hirse sandwichbrød med kremetkylling,  kremost,  saltmix,  sylta grønnsaker.. (hvete,  egg,  melk sulfitt,  sennep)", "Wrap med eggerøre,  røktskinke,  srirachamajones,  syrlig kål (hvete,  sulfitt,  egg,  sennep)", "Clubsandwich,  kylling,  Bacon,  salat og tomat,  aioli . (hvete,  egg,  sennep,  sulfitt)"
Dagens påsmurt veg, "Langpanne rotspelt,  med tomat,  syltarødløk,  brie og aioli. (hvete,  egg,  sennep,  sulfitt,  hvitløk,  melk)", "Baguett,  mozzarella,  salat,  chiliaioli og avocado. (hvete,  egg,  sulfitt,  sennep)", "Hirse sandwichbrød,  bakte grønnsaker,  kremost,  salatmix,  sylta rødløk.(hvete, sulfit,  melk))", "Wrap med eggerøre,  marinerte bønner,  srirachamajones,  syrlig kål (hvete,  sulfitt,  egg,  sennep)", "Sandwich med  Semidryed tomat,  chevre,  salat og aioli. (hvete,  sesam)"
Dagens salat, "Bulgursalat marinert bulgur med og grønnsaksmix,  med grillet svinenakke. Syltet rødløk. (hvete,  sulfitt)", """Karedok"" salat med kylling,  syltede grønnsaker,  peanøttsaus og kikerter (peanøtt,  fisk,  skalldyr,  sulfitt)", "Salat med feta,  greske kjøttboller,  oliven og tzatziki (melk,  sulfitt)", "Kylling og linsesalat med rucola,  feta,  honing,  rødløk,  redikk og sprø grønnsaker (sulfit,  melk)", "Salat med nypoteter,  bacon,  syltagurk,  rødløk,  kokte egg,  og persille(egg, sulfit)"
Dagens salat veg, "Bulgursalat,  marinert bulgur og grønnsaksmix,  med feta ,  oliven og Syltet rødløk. (hvete,  melk,  sulfitt)", """Karedok"" salat med syltede grønnsaker,  peanøttsaus og kikerter (peanøtt,  fisk,  skalldyr,  sulfitt)", "Gresk salat,  agurk,  tomat,  rødløk,  salatmix,   med feta,  oliven og tzatziki (melk,  sulfitt)", "Linsesalat med rucola,  feta,  honing,  rødløk,  redikk og sprø grønnsaker(sulfit,  melk)", "Salat med nypoteter, syltagurk,  rødløk,  kokte egg,  og persille(egg,  sulfit)"
Meny, Mandag, Tirsdag, Onsdag, Torsdag, Fredag
Lunsj, "Svinekam magert og mørt. I denne oppskriften blir svinekjøtt,  grønnsaker og kremet saus til en deilig lunsjgryte servert med ovnstekte potetbåter.(melk, hvitløk, sennep)", "Moussaka er opprinnelig fra Midtøsten,  men er mest kjent fra Tyrkia og Hellas. (hvete,  melk,  hvitløk)", "Thai marinert kylling,  med kokosmelk,  limejuice og fiskesaus for rikelig med umami. serveres med kokkosris(fisk,  sulfit,  hvitløk)", "Stekt scampi i hvitløkssmør serveres i en toskansk kremet hvitløksparmesan saus,  fylt glasert cherrytomat og spinat,  patatas bravas.(skaldyr,  egg,  sennep, melk,  hvitløk)", "Pulled Beef Tacos - høyrygg av okse,  små maistortillas,  revet ost,  ristet mais,  rømme,  guacemole,  pico de gallo,  frisk koriander,  limebåte,  serveres med red Mexican rice(melk,  sulfit,  hvitløk)"
Lunsj veg, "Vegetar gryte med sopp,  grønnsaker og kremet saus,  en deilig lunsjgryte servert med ovnstekte potetbåter(melk,  sennep,  hvitløk)", "Kung Pao Tofu omdefinerer begrepet plantebasert middag. Med knasende cashewnøtter og massevis av grønnsaker overfylt i en sunn dose krydret Kung Pao-saus,  er det en vegansk middag som treffer blink.(soya,  sulfit,  cashew,  hvitløk)", "Tom Ka vegetar,  nydelig gryte med kokosmelk,  limejuice og grønnsaker,  serveres med kokkosris(sulfit,  hvitløk)", "Grillet sopp i en lett og kremet hvitløksparmesan saus fylt med soltørkede tomater og spinat. patatas bravas(egg,  sennep,  melk,  sulfit)", "Frijoles refritos Tacos - meksikansk bønnestuing,  små maistortillas,  revet ost,  ristet mais,  rømme,  guacemole,  pico de gallo,  frisk koriander,  limebåter,  serveres med red Mexican rice(melk,  sulfit,  hvitløk)"
Dagens påsmurt, "Sandwich med mortadella,  italiensk salat og semidryed cherrytomat,  salat og tomatdressing(hvete, egg,  sennep,  hvitløk)", "Spekeskinke,  fersk tomatsalat,  basilkumaioli og mozzarella,  salat (hvete,  melk,  sulfitt)", "Focaccia med Prosciutto cotto,  tallegio,  fiken,  ruccola og balsamico(hvete,  melk,  sulfit, )", "Amerikansk currykyllingsalat sandwich med chrispysalat,  tomat og rødløk.(hvete,  egg,  sennep,  selleri,  hvitløk)", "'Banh mi'' med pork belly,  chiliaioli,  syltede grønnsaker og salat(hvete, sulfitt,  fisk,  egg,  sennep)"
Dagens påsmurt veg, "Sandwich med stekt aubergin,  italiensk salat og semidryed cherrytomat,  salat og tomatdressing.(hvete, egg,  sennep hvitløk)", "Grillet aubergine,  fersk tomatsalat,  basilkumaioli og mozzarella. salat. (hvete,  melk,  sulfitt)", "Focaccia med tomat,  tallegio,  fiken,  ruccola og balsamico(hvete,  melk, ", "Sandwich med kremetcurrygrønnsaker,  chrispysalat,  tomat og rødløk.(hvete,  sennep,  egg,  selleri, hvitløk)", "'Banh mi'' med pulled vego,  chiliaioli,  syltede grønnsaker og salat(hvete, sulfitt,  fisk,  egg,  sennep)"
Dagens salat, "Kyllingsalat med majodressing,  selleri,  vårløk,  semidryed cherrytomat,  rødløk,  og friske druer,  salat og pastaskruer.(hvete,  sennep. egg,  sulfit, selleri)", "Salat med chevre,  prosciutto cotto,  reddik,  rødløk,  hcbønner og tomat,  serveres med honningdressing(sulfitt,  melk, sennep)", "Asiatisk biffsalat med bokhvetenudler og friske grønnsaker,  nudler og asiatiskdressing.(hvete,  egg, sulfit)", "Salat med grillet svinenakke,  grønnsaksjulienne,  kimchi,  koriander og ponzusaus. (fisk,  sulfitt,  soya)", "Greske sitron-hvitløk kyllingsalat er i utgangspunktet en dekonstruert souvlaki,  men med ekstra salat og feta og kalamata oliven,  tzatziki og masse SMAK.(hvete,  melk,  sulfit,  hvitløk)"
Dagens salat veg, "Tufo med majodressing,  selleri,  vårløk,  semidryed cherrytomat,  rødløk,  og friske druer,  salat og pastaskruer.(hvete,  egg,  sulfit,  sennep,  selleri)", "Salat med chevre,  reddik,  rødløk,  hcbønner og tomat,  serveres med honningdressing(sulfitt,  melk, sennep)", "Asiatisk salat med bokhvetenudler og friske grønnsaker,  nudler og asiatiskdressing.(hvete,  egg,  sulfit)", "Salat med falafelboller,  kimchi,  grønnsaksjulienne,  koriander og ponzusaus. (sulfitt,  soya)", "Greske sitron-hvitløksopp,  men med ekstra salat og feta og kalamata oliven,  tzatziki og masse SMAK.(hvete,  sulfit,  melk,  hvitløk)"
Meny, Mandag, Tirsdag, Onsdag, Torsdag, Fredag
Lunsj, "Svinekamstek tilberedt med en nydelig honning-hvitløkssmørsaus,  gratinerte grønnsaker og småpoteter.(hvete,  melk,  selleri,  hvitløk)", "Gratinert ziti er en tomatbasert saus i napolitansk stil som er karakteristisk for italiensk-amerikansk mat. Det er en form for pasta al forno.(hvete,  melk,  hvitløk)", "kylling stekt med hvitløkssmør,  rosmarin,  persille,  sitron og et hint av hvitvin for en uslåelig smak. serveres med baktegrønnsakar og potetmos(melk,  selleri,  hvitløk,  sulfit)", "Laks med honning og soyasaus,  grillet grønnsaker,  nudler og boc choy(soya,  hvete,  egg,  sesam,  hvitløk)", "2 typer pizza. pizza m choritzo fefferonis,  rødløk - Pizza m mozzarela cherry tomat pesto . Pizzaene toppes med friske grønnsaker. rømmedressing (hvete,  melk,  sulfit)"
Lunsj veg, "Saftige vegetarkaker av linser og bønner,  serveres med gratinerte grønnsaker og småpoteter.(hvete,  melk,  selleri,  hvitløk)", "Pasta med kremet paprikasaus-ristet blomkal og pinjekjerner(hvete,  pinjekjerner, hvitløk)", "Bakte grønsaker med hvitløkssmør,  rosmarin,  persille,  sitron og et hint av hvitvin for en uslåelig smak. serveres med potetmos(melk,  sekkeri,  sulfit)", "GrilletSopp med honning og soyasaus,  grønnsaker,  nudler og boc choy(soya,  hvete,  egg,  sesam,  hvitløk)", "2 typer pizza,  pizza m chvre,  honning pinjeskjerner - pizza m mozzarela,  cherry tomat,  pesto. Pizzaene toppes med friske grønnsaker. rømmedressing(hvete,  sulfit,  melk)"
Dagens påsmurt, "Spansk omelett med skinke, aioli,  løk,  grillet paprika. (hvete,  egg,  sennep,  sulfitt)", "Gyroswraps med kylling,  Agurk,  rødløk,  tomat og tzatziki.(hvete,  melk,  hvitløk,  )", "Sandwich med spekeskinke,  cour de capra,  salat,  nøtter og honning.(hvete,  melk,  egg,  sennep,  sulfitt,  valnøtter)", "Sandwich med pecorino ost,  Prosciutto cotto,  grillet grønnsaker,  og aioli (hvete,  melk,  egg,  sennep,  sulfitt)", "Clubsandwich,  kylling,  Bacon,  salat og tomat,  aioli . (hvete,  egg,  sennep,  sulfitt)"
Dagens påsmurt veg, "Spansk omelett,  aioli,  løk,  grillet paprika. (hvete,  egg,  sennep,  sulfitt)", "Wraps med feta. oliven,  aubergine,  Agurk,  rødløk,  tomat og tzatziki.(hvete,  melk,  hvitløk)", "Sandwich med,  cour de capra,  sylta rødløk,  salat,  nøtter og honning.(hvete,  senne,  egg,  melk,  sulfitt,  valnøt)", "Sandwich med pecorino ost,  grillet grønnsaker,  tomat og aioli (hvete,  melk,  egg,  sennep,  sulfitt)", "Sandwich med  avocado,  semidryed tomat,  chevre,  salat og aioli. (hvete,  sesam)"
Dagens salat, "Taco salat med pulledbeef,  revet ost,  ristet mais,  rømme,  guacemole,  pico de gallo,  frisk koriander,  limebåte,  serveres med red Mexican rice(hvitløk,  melk,  sulfit)", "Hot BBQ salat med grillet kylling,  potetbiter stekt med tomat og parika,  bulgurmix og rømmedressing.(egg,  sennep,  melk,  sulfit,  hvitløk)", "lantidstekt svinekjøtt med asiatisk smak -Nudler som metter,  grønt som gjør salaten ekstra fargerik,  saftig svinefilet og en kremete,  deilig peanøttdressing.(egg,  hvete, ", "Salade-nicoise, . Denne klassiske,  franske salaten har navnet sitt fra byen Nice i Provenceområdet. egg,  tunfsik,  tomat,  aspargesbønner,  rødløk.(egg, ", "Grillet chimichurri kylling,  tomat og avokado,  rødløk og hjertesalat og pasta. (hvitløk,  sulfit,  hvete)"
Dagens salat veg, "Taco salat med bønner,  revet ost,  ristet mais,  rømme,  guacemole,  pico de gallo,  frisk koriander,  limebåte,  serveres med red Mexican rice(hvitløk,  sulfit,  melk)", "Hot BBQ salat med grillet halloumi,  potetbiter stekt med tomat og parika,  bulgurmix og rømmedressing.(hvitløk,  melk,  sulfit,  hvete)", "vegboller med asiatisk smak-Nudler som metter,  grønt som gjør salaten ekstra fargerik,  saftig Tofu og en kremete,  deilig peanøttdressing.(sulfit, egg,  hvete,  hvitløk, peanøtter)", "Veg Salade-nicoise, . Denne klassiske,  franske salaten har navnet sitt fra byen Nice i Provenceområdet. egg,  tofu,  tomat,  aspargesbønner,  rødløk.(egg,  sulfit,  soya)", "Grillet chimichurri søtpotet,  tomat og avokado,  rødløk og hjertesalat og pasta. (hvitløk,  sulfit,  hvete)"